[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
300,0.0125,0.0026,0.0000,0.0554,0.0618,0.0265,0.0133,
301,0.0124,0.0024,0.0000,0.0544,0.0625,0.0264,0.0133,
302,0.0123,0.0023,0.0000,0.0534,0.0632,0.0262,0.0133,
303,0.0123,0.0021,0.0000,0.0524,0.0637,0.0261,0.0133,
304,0.0122,0.0020,0.0000,0.0513,0.0643,0.0260,0.0133,
305,0.0122,0.0019,0.0000,0.0502,0.0647,0.0258,0.0133,
306,0.0123,0.0019,0.0000,0.0490,0.0651,0.0257,0.0132,
307,0.0124,0.0018,0.0000,0.0478,0.0654,0.0255,0.0132,
308,0.0125,0.0018,0.0000,0.0466,0.0656,0.0253,0.0131,
309,0.0126,0.0017,0.0000,0.0454,0.0657,0.0251,0.0130,
310,0.0127,0.0017,0.0000,0.0441,0.0658,0.0249,0.0129,
311,0.0129,0.0017,0.0000,0.0429,0.0658,0.0247,0.0128,
312,0.0132,0.0017,0.0000,0.0415,0.0656,0.0244,0.0127,
313,0.0134,0.0018,0.0000,0.0402,0.0654,0.0242,0.0126,
314,0.0137,0.0018,0.0000,0.0389,0.0651,0.0239,0.0124,
315,0.0139,0.0019,0.0000,0.0375,0.0648,0.0236,0.0123,
316,0.0142,0.0019,0.0000,0.0362,0.0643,0.0233,0.0121,
317,0.0146,0.0020,0.0000,0.0349,0.0637,0.0230,0.0119,
318,0.0149,0.0021,0.0000,0.0335,0.0631,0.0227,0.0117,
