[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
62,1.2471,1.4432,1.0668,0.8967,1.5150,1.2338,0.1150,
63,1.3110,1.5571,1.1473,0.9514,1.5992,1.3132,0.1224,
64,1.3726,1.6582,1.2352,1.0120,1.6831,1.3922,0.1275,
65,1.4341,1.7434,1.3294,1.0801,1.7663,1.4707,0.1295,
66,1.4984,1.8124,1.4279,1.1574,1.8489,1.5490,0.1284,
67,1.5674,1.8684,1.5279,1.2443,1.9313,1.6278,0.1246,
68,1.6430,1.9171,1.6269,1.3405,2.0158,1.7087,0.1192,
69,1.7265,1.9656,1.7238,1.4447,2.1051,1.7931,0.1135,
70,1.8178,2.0211,1.8183,1.5546,2.2025,1.8828,0.1090,
71,1.9158,2.0895,1.9123,1.6672,2.3107,1.9791,0.1067,
72,2.0187,2.1743,2.0088,1.7794,2.4312,2.0825,0.1076,
73,2.1238,2.2768,2.1116,1.8884,2.5640,2.1929,0.1115,
74,2.2283,2.3964,2.2246,1.9920,2.7073,2.3097,0.1184,
75,2.3291,2.5304,2.3502,2.0892,2.8582,2.4314,0.1277,
76,2.4240,2.6754,2.4898,2.1801,3.0134,2.5565,0.1390,
77,2.5113,2.8272,2.6423,2.2661,3.1696,2.6833,0.1521,
78,2.5902,2.9811,2.8052,2.3493,3.3242,2.8100,0.1665,
79,2.6617,3.1328,2.9737,2.4318,3.4755,2.9351,0.1817,
80,2.7278,3.2784,3.1425,2.5159,3.6226,3.0574,0.1971,
81,2.7915,3.4136,3.3051,2.6022,3.7646,3.1754,0.2117,
82,2.8562,3.5356,3.4559,2.6903,3.9009,3.2878,0.2246,
83,2.9257,3.6414,3.5902,2.7785,4.0302,3.3932,0.2348,
84,3.0030,3.7295,3.7051,2.8640,4.1504,3.4904,0.2417,
85,3.0901,3.7990,3.7996,2.9433,4.2591,3.5782,0.2452,
86,3.1874,3.8500,3.8745,3.0127,4.3535,3.6556,0.2455,
87,3.2939,3.8835,3.9327,3.0696,4.4313,3.7222,0.2432,
88,3.4068,3.9020,3.9784,3.1122,4.4912,3.7781,0.2393,
89,3.5223,3.9084,4.0166,3.1400,4.5325,3.8240,0.2351,
90,3.6359,3.9068,4.0528,3.1545,4.5563,3.8613,0.2315,
91,3.7428,3.9021,4.0921,3.1577,4.5650,3.8920,0.2296,
92,3.8389,3.8989,4.1392,3.1533,4.5620,3.9184,0.2297,
93,3.9206,3.9018,4.1975,3.1449,4.5515,3.9432,0.2317,
94,3.9856,3.9154,4.2691,3.1363,4.5375,3.9688,0.2356,
95,4.0329,3.9428,4.3553,3.1311,4.5245,3.9973,0.2409,
