[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
66,2.4002,2.0790,2.6477,5.2390,2.3211,2.9374,0.5825,
67,2.4568,2.1752,2.7746,5.3151,2.4698,3.0383,0.5770,
68,2.4839,2.2700,2.8832,5.3880,2.6079,3.1266,0.5740,
69,2.4836,2.3629,2.9731,5.4639,2.7345,3.2036,0.5748,
70,2.4605,2.4545,3.0445,5.5475,2.8498,3.2714,0.5803,
71,2.4211,2.5466,3.0998,5.6437,2.9559,3.3334,0.5910,
72,2.3727,2.6408,3.1423,5.7558,3.0543,3.3932,0.6069,
73,2.3230,2.7390,3.1769,5.8875,3.1476,3.4548,0.6278,
74,2.2799,2.8427,3.2090,6.0413,3.2382,3.5222,0.6530,
75,2.2502,2.9526,3.2441,6.2176,3.3279,3.5985,0.6817,
76,2.2395,3.0690,3.2875,6.4156,3.4188,3.6861,0.7125,
77,2.2523,3.1914,3.3436,6.6315,3.5131,3.7864,0.7441,
78,2.2908,3.3189,3.4152,6.8593,3.6130,3.8994,0.7747,
79,2.3559,3.4509,3.5040,7.0913,3.7206,4.0245,0.8025,
80,2.4469,3.5866,3.6097,7.3192,3.8380,4.1601,0.8262,
81,2.5611,3.7251,3.7305,7.5338,3.9659,4.3033,0.8440,
82,2.6946,3.8656,3.8628,7.7274,4.1040,4.4509,0.8552,
83,2.8430,4.0071,4.0023,7.8937,4.2505,4.5993,0.8593,
84,3.0009,4.1484,4.1440,8.0293,4.4018,4.7449,0.8563,
85,3.1637,4.2880,4.2832,8.1338,4.5534,4.8844,0.8469,
86,3.3257,4.4234,4.4140,8.2079,4.6993,5.0141,0.8324,
87,3.4825,4.5523,4.5322,8.2558,4.8338,5.1313,0.8144,
88,3.6301,4.6718,4.6341,8.2830,4.9517,5.2342,0.7945,
89,3.7650,4.7794,4.7167,8.2951,5.0490,5.3211,0.7746,
90,3.8848,4.8727,4.7789,8.2992,5.1236,5.3918,0.7563,
91,3.9876,4.9500,4.8200,8.3007,5.1750,5.4467,0.7412,
92,4.0724,5.0105,4.8411,8.3048,5.2044,5.4866,0.7302,
93,4.1394,5.0543,4.8446,8.3163,5.2147,5.5139,0.7243,
94,4.1891,5.0820,4.8336,8.3382,5.2091,5.5304,0.7236,
95,4.2235,5.0955,4.8122,8.3734,5.1916,5.5392,0.7284,
96,4.2450,5.0964,4.7846,8.4232,5.1658,5.5430,0.7381,
97,4.2566,5.0872,4.7553,8.4883,5.1345,5.5444,0.7525,
98,4.2619,5.0699,4.7285,8.5683,5.1000,5.5457,0.7706,
99,4.2646,5.0469,4.7077,8.6625,5.0637,5.5491,0.7918,
100,4.2683,5.0199,4.6957,8.7685,5.0266,5.5558,0.8151,
101,4.2759,4.9904,4.6943,8.8834,4.9886,5.5665,0.8395,
102,4.2904,4.9599,4.7047,9.0032,4.9497,5.5816,0.8640,
103,4.3136,4.9292,4.7265,9.1233,4.9097,5.6005,0.8876,
104,4.3466,4.8992,4.7598,9.2386,4.8684,5.6225,0.9094,
105,4.3892,4.8699,4.8029,9.3427,4.8256,5.6461,0.9282,
106,4.4409,4.8414,4.8542,9.4306,4.7817,5.6697,0.9432,
107,4.4998,4.8134,4.9117,9.4967,4.7368,5.6917,0.9537,
108,4.5636,4.7851,4.9731,9.5366,4.6915,5.7100,0.9590,
109,4.6293,4.7561,5.0359,9.5472,4.6465,5.7230,0.9588,
110,4.6935,4.7251,5.0972,9.5261,4.6023,5.7288,0.9531,
111,4.7525,4.6909,5.1543,9.4729,4.5597,5.7260,0.9420,
112,4.8031,4.6525,5.2047,9.3884,4.5193,5.7136,0.9259,
113,4.8421,4.6087,5.2460,9.2749,4.4820,5.6907,0.9054,
114,4.8672,4.5588,5.2760,9.1359,4.4481,5.6572,0.8814,
115,4.8762,4.5019,5.2929,8.9751,4.4180,5.6128,0.8547,
116,4.8680,4.4376,5.2957,8.7970,4.3919,5.5581,0.8262,
117,4.8423,4.3659,5.2839,8.6064,4.3703,5.4938,0.7966,
118,4.7998,4.2872,5.2576,8.4077,4.3528,5.4210,0.7668,
119,4.7419,4.2019,5.2175,8.2049,4.3394,5.3411,0.7375,
120,4.6700,4.1110,5.1650,8.0009,4.3291,5.2552,0.7091,
121,4.5867,4.0160,5.1020,7.7984,4.3214,5.1649,0.6821,
122,4.4947,3.9181,5.0307,7.5993,4.3149,5.0715,0.6568,
123,4.3966,3.8191,4.9541,7.4048,4.3086,4.9766,0.6332,
124,4.2948,3.7206,4.8743,7.2153,4.3009,4.8812,0.6114,
125,4.1920,3.6243,4.7942,7.0307,4.2906,4.7864,0.5910,
126,4.0900,3.5320,4.7162,6.8510,4.2761,4.6931,0.5720,
127,3.9905,3.4449,4.6425,6.6756,4.2561,4.6019,0.5538,
128,3.8945,3.3646,4.5752,6.5045,4.2296,4.5137,0.5363,
129,3.8028,3.2919,4.5152,6.3366,4.1956,4.4284,0.5189,
130,3.7156,3.2273,4.4635,6.1719,4.1535,4.3464,0.5017,
131,3.6327,3.1714,4.4206,6.0098,4.1034,4.2676,0.4843,
132,3.5536,3.1243,4.3862,5.8504,4.0453,4.1920,0.4667,
133,3.4780,3.0859,4.3599,5.6935,3.9798,4.1194,0.4492,
134,3.4048,3.0555,4.3405,5.5390,3.9078,4.0495,0.4317,
135,3.3332,3.0325,4.3270,5.3872,3.8305,3.9821,0.4147,
136,3.2626,3.0162,4.3178,5.2381,3.7493,3.9168,0.3984,
137,3.1920,3.0055,4.3113,5.0919,3.6659,3.8533,0.3831,
138,3.1211,2.9992,4.3060,4.9491,3.5818,3.7915,0.3692,
139,3.0495,2.9963,4.3003,4.8095,3.4986,3.7309,0.3568,
140,2.9768,2.9957,4.2925,4.6737,3.4180,3.6713,0.3459,
141,2.9033,2.9962,4.2814,4.5418,3.3413,3.6128,0.3367,
142,2.8291,2.9969,4.2661,4.4142,3.2697,3.5552,0.3289,
143,2.7545,2.9969,4.2455,4.2908,3.2040,3.4983,0.3223,
144,2.6800,2.9956,4.2190,4.1718,3.1450,3.4423,0.3166,
145,2.6062,2.9923,4.1864,4.0575,3.0929,3.3871,0.3115,
146,2.5337,2.9867,4.1476,3.9480,3.0479,3.3328,0.3068,
147,2.4634,2.9787,4.1029,3.8433,3.0098,3.2796,0.3021,
148,2.3955,2.9678,4.0524,3.7431,2.9783,3.2274,0.2973,
149,2.3306,2.9542,3.9972,3.6476,2.9526,3.1764,0.2925,
150,2.2691,2.9379,3.9377,3.5567,2.9323,3.1267,0.2874,
151,2.2113,2.9193,3.8747,3.4700,2.9164,3.0783,0.2820,
152,2.1574,2.8985,3.8093,3.3876,2.9041,3.0314,0.2766,
153,2.1072,2.8757,3.7419,3.3090,2.8945,2.9857,0.2710,
154,2.0607,2.8512,3.6734,3.2340,2.8869,2.9412,0.2654,
155,2.0176,2.8253,3.6045,3.1620,2.8802,2.8979,0.2598,
156,1.9775,2.7982,3.5357,3.0931,2.8738,2.8557,0.2543,
157,1.9403,2.7704,3.4675,3.0269,2.8671,2.8145,0.2491,
158,1.9052,2.7416,3.4001,2.9629,2.8595,2.7739,0.2440,
159,1.8720,2.7124,3.3333,2.9007,2.8505,2.7338,0.2392,
160,1.8401,2.6828,3.2673,2.8401,2.8398,2.6940,0.2346,
161,1.8093,2.6530,3.2020,2.7810,2.8271,2.6545,0.2302,
162,1.7791,2.6230,3.1372,2.7230,2.8123,2.6149,0.2261,
163,1.7492,2.5931,3.0724,2.6659,2.7953,2.5752,0.2221,
164,1.7193,2.5632,3.0073,2.6097,2.7760,2.5351,0.2183,
